feature,score,min,max,n_null,n_gt1w
x174,135,-1.0,18.45,19,0,numeric
x651,134,-1,549,19,0,numeric
x45,134,-1.0,33.5,19,0,numeric
x304,133,-1,2921,19,0,numeric
x1138,132,1,33,0,0,category
x512,132,-1,134047,19,3,numeric
x847,132,-1,628,19,0,numeric
x890,132,-1,79,4951,0,numeric
x961,132,-1,10,4421,0,numeric
x330,131,-1.0,133.398,4280,0,numeric
x33,131,-1.0,100.0,130,0,numeric
x277,130,-1,22804,19,4,numeric
x197,130,-1.0,14.77,19,0,numeric
x749,129,-1,15950,19,1,numeric
x978,129,-1,1221,19,0,numeric
x441,129,-1,15,13998,0,numeric
x431,128,-1.0,5082.35,52,0,numeric
x403,128,-1,838,19,0,numeric
x839,128,-1,50,19,0,numeric
x1109,127,1,33,0,0,category
x582,127,-1,1148,19,0,numeric
x283,127,-1,351,19,0,numeric
x980,127,-1,114,19,0,numeric
x156,127,-1.0,100.0,92,0,numeric
x75,126,-1.0,19.98,19,0,numeric
x268,125,-1,1382,19,0,numeric
x1103,125,-1,559,4951,0,numeric
x993,125,-1,357,19,0,numeric
x47,125,-1.0,53.4,92,0,numeric
x147,125,-1.0,20.32,19,0,numeric
x374,124,-1,1160,19,0,numeric
x800,124,-1,706,19,0,numeric
x1023,124,-1,487,19,0,numeric
x259,123,-1,18966,19,4,numeric
x676,123,-1,11071,19,1,numeric
x1048,123,-1,175,19,0,numeric
x221,122,-1.0,10.25,19,0,numeric
x585,121,-1,1016,19,0,numeric
x430,121,-1.0,456.0,52,0,numeric
x39,121,-1.0,17.6,19,0,numeric
x266,120,-1,876,19,0,numeric
x509,120,-1,632,19,0,numeric
x976,119,-1,2578,19,0,numeric
x704,119,-1,1070,19,0,numeric
x369,118,-1,7672,19,0,numeric
x875,117,-1,653,19,0,numeric
x1105,117,-1,446,4951,0,numeric
x215,117,-1.0,50.0,131,0,numeric
x382,116,-1,123,19,0,numeric
x1055,115,-1,866,4951,0,numeric
x579,115,-1,465,19,0,numeric
x499,115,-1,344,19,0,numeric
x765,115,-1,168,19,0,numeric
x655,115,-1,136,19,0,numeric
x748,113,-1,83075,19,72,numeric
x339,113,-1,2210,19,0,numeric
x344,113,-1.0,1325.94,34,0,numeric
x648,113,-1,398,6585,0,numeric
x700,113,-1,103,19,0,numeric
x387,113,-1,96,19,0,numeric
x531,111,-1,8072,19,0,numeric
x647,111,-1,395,10188,0,numeric
x605,110,-1,431,19,0,numeric
x733,110,-1,196,19,0,numeric
x386,110,-1,144,19,0,numeric
x394,110,-1,72,19,0,numeric
x837,109,-1,146502,19,4,numeric
x342,109,-1,5613,19,0,numeric
x782,109,-1,5309,19,0,numeric
x198,109,-1.0,23.6,19,0,numeric
x574,108,-1,150503,19,2,numeric
x506,108,-1,1075,19,0,numeric
x982,108,-1,172,19,0,numeric
x393,107,-1,2322,19,0,numeric
x988,107,-1,545,19,0,numeric
x265,106,-1,21837,19,2,numeric
x1104,106,-1,322,4951,0,numeric
x960,106,-1.0,292.26,4421,0,numeric
x1137,104,1,8,0,0,category
x1064,104,-1,362,4951,0,numeric
x851,104,-1,117,19,0,numeric
x307,102,-1,1691,19,0,numeric
x984,102,-1,40,19,0,numeric
x355,101,0.03,18676.0,0,7,numeric
x360,101,0.0,11278.0,0,1,numeric
x573,101,-1,134047,19,1,numeric
x306,101,-1.0,620.0,19,0,numeric
x61,100,-1.0,34.15,83,0,numeric
x818,99,-1,385,13010,0,numeric
x396,99,-1,295,19,0,numeric
x990,99,-1,292,19,0,numeric
x777,99,-1,150,19,0,numeric
x1005,98,-1,73,19,0,numeric
x1117,97,1,35,0,0,category
x533,97,-1,690,19,0,numeric
x985,97,-1,175,19,0,numeric
x429,96,-1,1481,52,0,numeric
x1003,96,-1,222,19,0,numeric
x338,95,-1,3538,19,0,numeric
x401,95,-1,505,19,0,numeric
x933,95,-1,71,4951,0,numeric
x954,95,-1,18,4421,0,numeric
x380,95,-1,16,19,0,numeric
x410,94,-1.0,2306.0,19,0,numeric
x256,93,-1,375,19,0,numeric
x966,92,-1.0,22414532.0,12142,1844,numeric
x522,92,-1,38435,19,7,numeric
x341,92,-1,3520,19,0,numeric
x703,92,-1,2692,19,0,numeric
x497,92,-1,433,83,0,numeric
x697,92,-1,98,19,0,numeric
x624,91,-1,18540,19,1,numeric
x850,91,-1,11341,19,2,numeric
x1072,91,-1,9409,4951,0,numeric
x485,91,-1,5555,20,0,numeric
x1008,90,-1,73,19,0,numeric
x1016,90,-1,36,19,0,numeric
x1114,89,1,36,0,0,category
x347,89,0.0,1597488.0,0,13231,numeric
x835,89,-1,9415,19,0,numeric
x589,89,-1,3286,19,0,numeric
x294,89,-1,1325,19,0,numeric
x1020,89,-1,239,19,0,numeric
x1078,89,-1.0,220.85,4951,0,numeric
x732,89,-1,147,19,0,numeric
x470,88,0,398,0,0,numeric
x736,88,-1,121,19,0,numeric
x545,87,-1,1321,19,0,numeric
x762,87,-1,646,19,0,numeric
x349,86,0.0,92.17,0,0,numeric
x1083,86,-1,2705,4951,0,numeric
x1090,86,-1,2303,4951,0,numeric
x1108,85,1,36,0,0,category
x677,85,-1,16777,19,2,numeric
x1074,85,-1,12359,4951,1,numeric
x594,85,-1,4373,19,0,numeric
x983,85,-1,115,19,0,numeric
x1059,84,-1,930,4951,0,numeric
x370,83,-1,10536,19,1,numeric
x334,83,-1,5,19,0,numeric
x1115,82,1,36,0,0,category
x657,82,-1,368,19,0,numeric
x709,82,-1,77,19,0,numeric
x340,81,-1,5913,19,0,numeric
x1015,81,-1,825,19,0,numeric
x576,81,-1,273,19,0,numeric
x646,81,-1,237,13169,0,numeric
x459,80,0,925,0,0,numeric
x968,80,-1,22414532,12142,1209,numeric
x611,80,-1,150503,19,4,numeric
x602,80,-1,1050,19,0,numeric
x388,80,-1,265,19,0,numeric
x377,80,-1,43,19,0,numeric
x1116,79,1,36,0,0,category
x770,79,-1,186,19,0,numeric
x242,78,-1,13642,19,1,numeric
x1011,78,-1,89,19,0,numeric
x446,78,-1,16,13651,0,numeric
x838,77,-1,913,19,0,numeric
x672,77,-1,103,19,0,numeric
x844,76,-1,9519,19,0,numeric
x273,76,-1,340,19,0,numeric
x684,76,-1,122,19,0,numeric
x1087,75,-1,9995,4951,0,numeric
x806,75,-1,106,19,0,numeric
x675,75,-1,87,19,0,numeric
x343,74,-1.0,999.46,170,0,numeric
x1135,73,1,36,0,0,category
x461,73,0,50,0,0,numeric
x803,73,-1,249,19,0,numeric
x510,73,-1,103,19,0,numeric
x802,72,-1,4704,19,0,numeric
x170,72,-1.0,19.9,19,0,numeric
x756,71,-1,6508,19,0,numeric
x402,71,-1,95,19,0,numeric
x870,71,-1,25,19,0,numeric
x375,70,-1,44,19,0,numeric
x414,70,-1,14,19,0,numeric
x780,70,-1,10,44,0,numeric
x693,69,-1,1536,19,0,numeric
x480,69,-1,562,21,0,numeric
x902,69,-1,79,4951,0,numeric
x639,69,-1,12,19,0,numeric
x1084,68,-1,1065,4951,0,numeric
x526,68,-1,240,19,0,numeric
x535,68,-1,119,19,0,numeric
x390,68,-1,34,19,0,numeric
x1028,68,-1,28,19,0,numeric
x962,68,-1,19,4421,0,numeric
x967,67,-1,22414532,12142,1881,numeric
x532,67,-1,6188,19,0,numeric
x521,67,-1,464,19,0,numeric
x260,67,-1,170,19,0,numeric
x1021,67,-1,101,19,0,numeric
x935,67,-1,82,4951,0,numeric
x807,67,-1,14,19,0,numeric
x1068,66,-1,1519,4951,0,numeric
x650,66,-1,416,10943,0,numeric
x920,66,-1,370,4951,0,numeric
x745,66,-1,62,19,0,numeric
x326,66,-1,23,19,0,numeric
x1113,65,1,33,0,0,category
x1102,65,-1,2449,4951,0,numeric
x630,65,-1,2117,19,0,numeric
x626,65,-1,1859,19,0,numeric
x747,65,-1,619,19,0,numeric
x649,65,-1,373,13242,0,numeric
x827,64,-1,154,19,0,numeric
x845,63,-1,5075,19,0,numeric
x631,63,-1,358,19,0,numeric
x415,62,1,4,0,0,category
x862,62,-1,146,19,0,numeric
x863,62,-1,116,19,0,numeric
x378,62,-1,64,19,0,numeric
x325,62,-1,63,19,0,numeric
x889,62,-1,20,4951,0,numeric
x1112,61,1,33,0,0,category
x244,61,-1,194,19,0,numeric
x420,61,-1,24,19,0,numeric
x351,60,0.04,19558.0,0,10,numeric
x832,60,-1,1779,19,0,numeric
x586,60,-1,214,19,0,numeric
x880,60,-1,57,19,0,numeric
x667,60,-1,21,19,0,numeric
x251,59,-1,20582,19,5,numeric
x547,59,-1,387,13030,0,numeric
x269,59,-1,323,19,0,numeric
x371,59,-1,250,19,0,numeric
x790,59,-1,125,19,0,numeric
x1012,59,-1,51,19,0,numeric
x857,58,-1,167,19,0,numeric
x751,58,-1,62,19,0,numeric
x720,57,-1,7309,19,0,numeric
x905,57,-1,388,4951,0,numeric
x869,57,-1,39,19,0,numeric
x1025,56,-1,81,19,0,numeric
x1013,56,-1,15,19,0,numeric
x1017,55,-1,31,19,0,numeric
x328,55,-1,21,92,0,numeric
x866,54,-1,124,19,0,numeric
x991,54,-1,83,19,0,numeric
x908,54,-1,55,4951,0,numeric
x969,54,-1,49,19,0,numeric
x1123,53,1,8,0,0,category
x436,53,-1,2863,52,0,numeric
x1111,52,1,27,0,0,category
x628,52,-1,304,19,0,numeric
x258,52,-1,233,19,0,numeric
x267,52,-1,125,19,0,numeric
x955,52,-1,65,4421,0,numeric
x887,52,-1,54,4951,0,numeric
x523,51,-1,5784,19,0,numeric
x456,51,-1,34,13778,0,numeric
x1131,50,1,35,0,0,category
x411,50,1,7,0,0,category
x679,50,-1,81,19,0,numeric
x1002,50,-1,12,19,0,numeric
x795,49,-1,914,19,0,numeric
x998,49,-1,65,19,0,numeric
x335,49,-1,5,19,0,numeric
x444,49,-1,1,13651,0,category
x1118,48,1,34,0,0,category
x391,48,-1.0,4130.0,19,0,numeric
x285,48,-1,497,19,0,numeric
x577,48,-1,58,19,0,numeric
x595,48,-1,29,19,0,numeric
x892,48,-1,4,4951,0,numeric
x621,47,-1,1321,19,0,numeric
x819,47,-1,387,13061,0,numeric
x948,46,-1.0,843.0,286,0,numeric
x705,46,-1,289,19,0,numeric
x580,46,-1,202,19,0,numeric
x680,46,-1,89,19,0,numeric
x1049,46,-1,33,19,0,numeric
x828,45,-1,121,19,0,numeric
x924,45,-1,51,4951,0,numeric
x596,45,-1,20,19,0,numeric
x884,45,-1,1,4951,0,category
x789,44,-1,251,19,0,numeric
x465,43,0,388,0,0,numeric
x327,43,-1,3157,92,0,numeric
x245,43,-1,302,19,0,numeric
x1035,43,-1,1,3642,0,category
x466,42,0,37,0,0,numeric
x918,42,-1,466,4951,0,numeric
x1062,42,-1,280,4951,0,numeric
x794,42,-1,112,19,0,numeric
x706,42,-1,67,19,0,numeric
x972,41,-1.0,22785057.0,13588,1335,numeric
x502,41,-1,1385,19,0,numeric
x821,41,-1,121,19,0,numeric
x608,41,-1,70,19,0,numeric
x322,41,-1,63,19,0,numeric
x464,40,0,198,0,0,numeric
x467,40,0,11,0,0,numeric
x783,40,-1,5495,19,0,numeric
x915,40,-1,247,4951,0,numeric
x739,39,-1,1385,19,0,numeric
x759,39,-1,69,19,0,numeric
x1014,39,-1,13,19,0,numeric
x1107,38,1,34,0,0,category
x974,38,-1,22785057,13588,862,numeric
x971,38,-1,69,19,0,numeric
x708,38,-1,65,19,0,numeric
x888,38,-1,15,4951,0,numeric
x910,38,-1,12,4951,0,numeric
x1133,37,1,8,0,0,category
x1066,37,-1,308,4951,0,numeric
x632,37,-1,82,19,0,numeric
x673,37,-1,73,19,0,numeric
x376,37,-1,52,19,0,numeric
x419,37,-1,22,19,0,numeric
x243,36,-1,154,19,0,numeric
x561,36,-1,96,19,0,numeric
x1007,36,-1,24,19,0,numeric
x871,36,-1,15,19,0,numeric
x1125,35,1,8,0,0,category
x1127,35,1,8,0,0,category
x345,35,-1.0,1748.13,19,0,numeric
x1071,35,-1,838,4951,0,numeric
x848,35,-1,112,19,0,numeric
x659,35,-1,90,19,0,numeric
x753,35,-1,68,19,0,numeric
x625,35,-1,66,19,0,numeric
x841,35,-1,44,19,0,numeric
x332,35,-1,38,19,0,numeric
x1041,35,-1,1,3647,0,category
x381,34,-1,14637,19,9,numeric
x717,34,-1,369,19,0,numeric
x421,34,-1,245,19,0,numeric
x682,34,-1,112,19,0,numeric
x712,34,-1,106,19,0,numeric
x694,34,-1,54,19,0,numeric
x454,34,-1,1,13778,0,category
x539,33,-1,9764,19,0,numeric
x290,33,-1,4355,19,0,numeric
x263,33,-1,1069,19,0,numeric
x793,33,-1,112,19,0,numeric
x302,33,-2,1,25,0,category
x492,32,-1,298,19,0,numeric
x1067,32,-1,289,4951,0,numeric
x758,32,-1,154,19,0,numeric
x874,32,-1,153,19,0,numeric
x932,32,-1,15,4951,0,numeric
x1046,32,-1,1,24,0,category
x1101,31,-1,318,4951,0,numeric
x1075,31,-1,196,4951,0,numeric
x618,31,-1,72,19,0,numeric
x1006,31,-1,28,19,0,numeric
x925,31,-1,12,4951,0,numeric
x1121,30,1,8,0,0,category
x715,30,-1,8954,19,0,numeric
x627,30,-1,301,19,0,numeric
x612,30,-1,106,19,0,numeric
x973,29,-1,22785057,13588,1344,numeric
x622,29,-1,145,19,0,numeric
x1058,29,-1,98,4951,0,numeric
x928,29,-1,24,4951,0,numeric
x930,29,-1,20,4951,0,numeric
x1136,28,1,8,0,0,category
x1120,28,1,8,0,0,category
x569,28,-1,36,19,0,numeric
x904,28,-1,8,4951,0,numeric
x416,27,1,4,0,0,category
x280,27,-1,155,19,0,numeric
x921,27,-1,54,4951,0,numeric
x779,27,-1,5,44,0,numeric
x1128,26,1,8,0,0,category
x671,26,-1,4435,19,0,numeric
x1053,26,-1,103,4951,0,numeric
x939,26,-1,6,4951,0,numeric
x250,25,-1,3036,19,0,numeric
x1119,24,1,8,0,0,category
x1126,24,1,8,0,0,category
x1073,24,-1,930,4951,0,numeric
x1069,24,-1,172,4951,0,numeric
x840,24,-1,64,19,0,numeric
x1061,24,-1,28,4951,0,numeric
x1106,23,-1,266,4951,0,numeric
x1092,23,-1,124,4951,0,numeric
x718,23,-1,74,19,0,numeric
x1000,23,-1,51,19,0,numeric
x1130,22,1,8,0,0,category
x719,22,-1,79,19,0,numeric
x816,22,-1,72,19,0,numeric
x975,22,-1,49,19,0,numeric
x691,22,-1,33,19,0,numeric
x1030,22,-1,16,19,0,numeric
x570,21,-1,2599,19,0,numeric
x597,21,-1,2324,19,0,numeric
x281,21,-1,167,19,0,numeric
x439,21,-1,1,13998,0,category
x1070,20,-1,196,4951,0,numeric
x519,20,-1,150,19,0,numeric
x600,20,-1,22,19,0,numeric
x324,20,-1,5,19,0,numeric
x249,19,-1,4906,19,0,numeric
x1080,19,-1,226,4951,0,numeric
x1094,19,-1,99,4951,0,numeric
x701,19,-1,18,19,0,numeric
x934,19,-1,6,4951,0,numeric
x311,19,-1,1,3663,0,category
x437,19,-1,0,13998,0,numeric
x1085,18,-1,262,4951,0,numeric
x754,18,-1,36,19,0,numeric
x537,17,-1,592,19,0,numeric
x1089,17,-1,397,4951,0,numeric
x571,17,-1,87,19,0,numeric
x881,17,-1,20,4951,0,numeric
x423,17,-1,6,19,0,numeric
x310,17,-1,1,3657,0,category
x742,16,-1,2657,19,0,numeric
x1082,16,-1,605,4951,0,numeric
x1056,16,-1,101,4951,0,numeric
x801,16,-1,90,19,0,numeric
x572,16,-1,80,19,0,numeric
x989,16,-1,26,19,0,numeric
x544,16,-1,11,19,0,numeric
x301,16,-1,1,14517,0,category
x314,16,-1,1,63,0,category
x669,15,-1,3286,19,0,numeric
x635,15,-1,1746,19,0,numeric
x1088,15,-1,208,4951,0,numeric
x1054,15,-1,100,4951,0,numeric
x714,15,-1,76,19,0,numeric
x1045,15,-1,1,34,0,category
x452,15,-1,0,13778,0,category
x1122,14,1,8,0,0,category
x854,14,-1,230,19,0,numeric
x599,14,-1,25,19,0,numeric
x919,14,-1,22,4951,0,numeric
x319,14,-1,1,53,0,category
x438,14,-1,0,13998,0,category
x1076,13,-1,251,4951,0,numeric
x425,13,-1,245,19,0,numeric
x755,13,-1,64,19,0,numeric
x724,13,-1,45,19,0,numeric
x1027,13,-1,14,19,0,numeric
x938,13,-1,6,4951,0,numeric
x811,13,-1,4,83,0,numeric
x1042,13,-1,1,443,0,category
x442,13,-1,0,13651,0,numeric
x264,12,-1,261,19,0,numeric
x1097,12,-1,139,4951,0,numeric
x331,12,-1,6,19,0,numeric
x1038,12,-1,1,4171,0,category
x1047,12,-1,1,576,0,category
x810,11,-1,772,19,0,numeric
x1086,11,-1,86,4951,0,numeric
x882,11,-1,25,4951,0,numeric
x917,11,-1,15,4951,0,numeric
x670,11,-1,14,19,0,numeric
x320,11,-1,1,84,0,category
x453,11,-1,0,13778,0,category
x598,10,-1,3027,19,0,numeric
x970,10,-1,22,19,0,numeric
x896,10,-1,4,4951,0,numeric
x1036,10,-1,1,585,0,category
x303,10,-1,1,186,0,category
x1124,9,1,8,0,0,category
x457,9,0,256,0,0,numeric
x508,9,-1,256,19,0,numeric
x1079,9,-1,53,4951,0,numeric
x907,9,-1,52,4951,0,numeric
x926,9,-1,23,4951,0,numeric
x834,9,-1,15,19,0,numeric
x893,9,-1,6,4951,0,numeric
x885,9,-1,1,4951,0,category
x1037,9,-1,1,24,0,category
x1099,8,-1,263,4951,0,numeric
x1096,8,-1,261,4951,0,numeric
x1100,8,-1,206,4951,0,numeric
x1091,8,-1,113,4951,0,numeric
x275,8,-1,50,19,0,numeric
x247,8,-1,42,19,0,numeric
x1063,8,-1,32,4951,0,numeric
x1065,8,-1,27,4951,0,numeric
x1093,8,-1,22,4951,0,numeric
x702,8,-1,17,19,0,numeric
x451,8,-1,15,14051,0,numeric
x916,8,-1,12,4951,0,numeric
x540,8,-1,3,83,0,numeric
x308,8,-1,1,4191,0,category
x688,7,-1,256,19,0,numeric
x965,7,-1,23,19,0,numeric
x799,7,-1,11,19,0,numeric
x536,7,-1,6,19,0,numeric
x901,7,-1,4,4951,0,numeric
x931,7,-1,2,4951,0,numeric
x1044,7,-1,1,13298,0,category
x1040,7,-1,1,2850,0,category
x1043,7,-1,1,453,0,category
x315,7,-1,1,94,0,category
x321,7,-1,1,19,0,category
x505,6,-1,304,83,0,numeric
x872,6,-1,20,19,0,numeric
x906,6,-1,10,4951,0,numeric
x808,6,-1,6,19,0,numeric
x449,6,-1,1,14051,0,category
x443,6,-1,1,13651,0,numeric
x1032,6,-1,1,34,0,category
x447,6,-1,0,14051,0,category
x1031,6,-1,0,13298,0,category
x279,5,-1,3959,19,0,numeric
x278,5,-1,3545,19,0,numeric
x664,5,-1,3151,19,0,numeric
x498,5,-1,2148,83,0,numeric
x518,5,-1,681,19,0,numeric
x1098,5,-1,68,4951,0,numeric
x543,5,-1,18,19,0,numeric
x668,5,-1,10,19,0,numeric
x936,5,-1,5,4951,0,numeric
x898,5,-1,5,4951,0,numeric
x895,5,-1,3,4951,0,numeric
x300,5,-1,1,8534,0,category
x309,5,-1,1,2870,0,category
x448,5,-1,0,14051,0,category
x440,5,-1,0,13998,0,category
x1033,5,-1,0,13355,0,category
x501,4,-1,2148,83,0,numeric
x507,4,-1,304,83,0,numeric
x1081,4,-1,89,4951,0,numeric
x261,4,-1,39,19,0,numeric
x784,4,-1,26,19,0,numeric
x927,4,-1,3,4951,0,numeric
x317,4,-1,1,85,0,category
x455,4,-1,0,13778,0,category
x891,3,-1,8,4951,0,numeric
x723,3,-1,8,19,0,numeric
x619,3,-1,8,19,0,numeric
x445,3,-1,1,13651,0,numeric
x1050,3,-1,1,13298,0,category
x313,3,-1,1,95,0,category
x312,3,-1,1,63,0,category
x426,3,-1,1,19,0,category
x1034,3,-1,0,13342,0,category
x1039,3,-1,0,13297,0,category
x495,2,-1,454,83,0,numeric
x248,2,-1,66,19,0,numeric
x1095,2,-1,46,4951,0,numeric
x262,2,-1,32,19,0,numeric
x291,2,-1,28,19,0,numeric
x711,2,-1,18,19,0,numeric
x567,2,-1,13,19,0,numeric
x903,2,-1,11,4951,0,numeric
x744,2,-1,10,19,0,numeric
x922,2,-1,8,4951,0,numeric
x276,1,-1,5475,19,0,numeric
x817,1,-1,681,19,0,numeric
x644,1,-1,395,19,0,numeric
x658,1,-1,271,19,0,numeric
x740,1,-1,61,19,0,numeric
x662,1,-1,31,19,0,numeric
x912,1,-1,10,4951,0,numeric
x923,1,-1,4,4951,0,numeric
x316,1,-1,1,53,0,category
x318,1,-1,1,19,0,category
